location,EW,EW_start_date,pop,cases,cases_est,cases_est_min,cases_est_max,p_rt1,p_inc100k,Sublocation,alert,id,model_version,tweet,Rt,receptivity,transmission,epidemic_threshold
A,201501,2015-01-04,12325232,0,0.0,0,0,0.5,0.0,0,1,355030820150119589,2023-08-20,0,0.0,0,0,0
A,201502,2015-01-11,12325232,0,0.0,0,0,0.5,0.0,0,1,355030820150219589,2023-08-20,0,0.0,0,0,0
A,201503,2015-01-18,12325232,0,0.0,0,0,0.5,0.0,0,1,355030820150319589,2023-08-20,0,0.0,0,0,0
A,201504,2015-01-25,12325232,0,0.0,0,0,0.5,0.0,0,1,355030820150419589,2023-08-20,0,0.0,0,0,0
A,201505,2015-02-01,12325232,0,0.0,0,0,0.5,0.0,0,1,355030820150519589,2023-08-20,0,0.0,0,0,0
A,201506,2015-02-08,12325232,0,0.0,0,0,0.5,0.0,0,1,355030820150619589,2023-08-20,0,0.0,0,0,0
A,201507,2015-02-15,12325232,0,0.0,0,0,0.5,0.0,0,1,355030820150719589,2023-08-20,0,0.0,0,0,0
A,201508,2015-02-22,12325232,0,0.0,0,0,0.5,0.0,0,1,355030820150819589,2023-08-20,0,0.0,0,0,0
A,201509,2015-03-01,12325232,0,0.0,0,0,0.5,0.0,0,1,355030820150919589,2023-08-20,0,0.0,0,0,0
A,201510,2015-03-08,12325232,0,0.0,0,0,0.5,0.0,0,1,355030820151019589,2023-08-20,0,0.0,0,0,0
A,201511,2015-03-15,12325232,0,0.0,0,0,0.5,0.0,0,1,355030820151119589,2023-08-20,0,0.0,0,0,0
A,201512,2015-03-22,12325232,0,0.0,0,0,0.5,0.0,0,1,355030820151219589,2023-08-20,0,0.0,0,0,0
A,201513,2015-03-29,12325232,0,0.0,0,0,0.5,0.0,0,1,355030820151319589,2023-08-20,0,0.0,0,0,0
A,201514,2015-04-05,12325232,0,0.0,0,0,0.5,0.0,0,1,355030820151419589,2023-08-20,0,0.0,0,0,0
A,201515,2015-04-12,12325232,0,0.0,0,0,0.5,0.0,0,1,355030820151519589,2023-08-20,0,0.0,0,0,0
A,201516,2015-04-19,12325232,0,0.0,0,0,0.5,0.0,0,1,355030820151619589,2023-08-20,0,0.0,0,0,0
A,201517,2015-04-26,12325232,0,0.0,0,0,0.5,0.0,0,1,355030820151719589,2023-08-20,0,0.0,0,0,0
A,201518,2015-05-03,12325232,0,0.0,0,0,0.5,0.0,0,1,355030820151819589,2023-08-20,0,0.0,0,0,0
A,201519,2015-05-10,12325232,0,0.0,0,0,0.5,0.0,0,1,355030820151919589,2023-08-20,0,0.0,0,0,0
A,201520,2015-05-17,12325232,0,0.0,0,0,0.5,0.0,0,1,355030820152019589,2023-08-20,0,0.0,0,0,0
A,201521,2015-05-24,12325232,0,0.0,0,0,0.5,0.0,0,1,355030820152119589,2023-08-20,0,0.0,0,0,0
A,201522,2015-05-31,12325232,0,0.0,0,0,0.5,0.0,0,1,355030820152219589,2023-08-20,0,0.0,0,0,0
A,201523,2015-06-07,12325232,0,0.0,0,0,0.5,0.0,0,1,355030820152319589,2023-08-20,0,0.0,0,0,0
A,201524,2015-06-14,12325232,0,0.0,0,0,0.5,0.0,0,1,355030820152419589,2023-08-20,0,0.0,0,0,0
A,201525,2015-06-21,12325232,0,0.0,0,0,0.5,0.0,0,1,355030820152519589,2023-08-20,0,0.0,0,0,0
A,201526,2015-06-28,12325232,0,0.0,0,0,0.5,0.0,0,1,355030820152619589,2023-08-20,0,0.0,0,0,0
A,201527,2015-07-05,12325232,0,0.0,0,0,0.5,0.0,0,1,355030820152719589,2023-08-20,0,0.0,0,0,0
A,201528,2015-07-12,12325232,0,0.0,0,0,0.5,0.0,0,1,355030820152819589,2023-08-20,0,0.0,0,0,0
A,201529,2015-07-19,12325232,0,0.0,0,0,0.5,0.0,0,1,355030820152919589,2023-08-20,0,0.0,0,0,0
A,201530,2015-07-26,12325232,0,0.0,0,0,0.5,0.0,0,1,355030820153019589,2023-08-20,0,0.0,0,0,0
A,201531,2015-08-02,12325232,0,0.0,0,0,0.5,0.0,0,1,355030820153119589,2023-08-20,0,0.0,0,0,0
A,201532,2015-08-09,12325232,0,0.0,0,0,0.5,0.0,0,1,355030820153219589,2023-08-20,0,0.0,0,0,0
A,201533,2015-08-16,12325232,0,0.0,0,0,0.5,0.0,0,1,355030820153319589,2023-08-20,0,0.0,0,0,0
A,201534,2015-08-23,12325232,0,0.0,0,0,0.5,0.0,0,1,355030820153419589,2023-08-20,0,0.0,0,0,0
A,201535,2015-08-30,12325232,0,0.0,0,0,0.5,0.0,0,1,355030820153519589,2023-08-20,0,0.0,0,0,0
