location,EW,EW_start_date,pop,cases
F,202201,2022-01-02,267036,0.7642236443129343
F,202202,2022-01-09,267036,0.9304933908304363
F,202203,2022-01-16,267036,0.040656395920572796
F,202204,2022-01-23,267036,0.35933136418636946
F,202205,2022-01-30,267036,-0.15422887935507057
F,202206,2022-02-06,267036,0.4236713109272833
F,202207,2022-02-13,267036,0.32956338807440666
F,202208,2022-02-20,267036,0.40741754343549774
F,202209,2022-02-27,267036,1.8147679167844069
F,202210,2022-03-06,267036,1.0665302551761116
F,202211,2022-03-13,267036,3.459400826051313
F,202212,2022-03-20,267036,3.0104461071144835
F,202213,2022-03-27,267036,4.934247208366359
F,202214,2022-04-03,267036,12.243235646156744
F,202215,2022-04-10,267036,9.857669126493537
F,202216,2022-04-17,267036,11.07229501951514
F,202217,2022-04-24,267036,12.135267498254656
F,202218,2022-05-01,267036,12.226873123219653
F,202219,2022-05-08,267036,16.181401785837483
F,202220,2022-05-15,267036,13.988164680623276
F,202221,2022-05-22,267036,14.300025064639305
F,202222,2022-05-29,267036,14.16703852708602
F,202223,2022-06-05,267036,18.03325817383403
F,202224,2022-06-12,267036,9.977286588251646
F,202225,2022-06-19,267036,7.52077322639597
F,202226,2022-06-26,267036,7.316395013235866
F,202227,2022-07-03,267036,7.8797445222121905
F,202228,2022-07-10,267036,7.54987798791038
F,202229,2022-07-17,267036,5.333417278825776
F,202230,2022-07-24,267036,3.11882925041997
F,202231,2022-07-31,267036,3.714164151557819
F,202232,2022-08-07,267036,2.7145871062685174
F,202233,2022-08-14,267036,3.2708271157701225
F,202234,2022-08-21,267036,2.535785645334504
F,202235,2022-08-28,267036,3.8132619926462796
F,202236,2022-09-04,267036,1.7204327048904857
F,202237,2022-09-11,267036,1.5425565710786053
F,202238,2022-09-18,267036,1.4089237548753553
F,202239,2022-09-25,267036,0.07950573096990765
F,202240,2022-10-02,267036,1.6767194820817328
F,202241,2022-10-09,267036,1.7837611912527347
F,202242,2022-10-16,267036,2.09492502062417
F,202243,2022-10-23,267036,2.548828983862757
F,202244,2022-10-30,267036,0.914667802183226
F,202245,2022-11-06,267036,0.18535047136517568
F,202246,2022-11-13,267036,0.7739757338432435
F,202247,2022-11-20,267036,1.2254535752639542
F,202248,2022-11-27,267036,0.7833618106001329
F,202249,2022-12-04,267036,0.8444167115762469
F,202250,2022-12-11,267036,0.4352064747899512
F,202251,2022-12-18,267036,0.6016115606071742
F,202252,2022-12-25,267036,-0.1560113682535027
F,202301,2023-01-01,267036,0.6851688228853173
F,202302,2023-01-08,267036,0.7690918376682166
F,202303,2023-01-15,267036,0.7344623393793488
F,202304,2023-01-22,267036,1.1229586855585505
F,202305,2023-01-29,267036,0.6949408459965454
F,202306,2023-02-05,267036,1.1573647783190555
F,202307,2023-02-12,252950,1.0057699367976232
F,202308,2023-02-19,252950,1.0141425923246423
F,202309,2023-02-26,252950,0.5509300589294759
F,202310,2023-03-05,252950,0.1686606959972774
F,202311,2023-03-12,252950,0.9608815487919069
F,202312,2023-03-19,252950,0.6191943903875707
F,202313,2023-03-26,252950,1.430845951681436
F,202314,2023-04-02,252950,1.351570301752682
F,202315,2023-04-09,252950,1.3796698240231975
F,202316,2023-04-16,252950,2.0637795468273876
F,202317,2023-04-23,252950,1.842769347051494
F,202318,2023-04-30,252950,3.3798679372907223
F,202319,2023-05-07,252950,2.0117587035111777
F,202320,2023-05-14,252950,2.1234301029265796
F,202321,2023-05-21,252950,1.6963266782353514
F,202322,2023-05-28,252950,1.6968425960416536
F,202323,2023-06-04,252950,1.5057516835268927
F,202324,2023-06-11,252950,1.226106752181294
F,202325,2023-06-18,252950,2.4970373766711735
F,202326,2023-06-25,252950,2.41303080333517
